,sst_avg,air_avg,dlwrf_avg,dswrf_avg,prate_avg,runof_avg,shum_avg,csdlf_avg,csdsf_avg,uswrf_avg,extend,id,cat_id,date,month,days_from_start
0,13.202774321331537,277.7589111328125,288.31640625,205.27999877929688,2.5093921067309566e-05,1.7389414287073046,7.659610748291016,261.7752380371094,271.10211181640625,67.4623031616211,15.176733333333335,1,1,1982-01-01,1,1096
1,13.36945335509943,276.7259521484375,286.02862548828125,200.22125244140625,2.499539914424531e-05,1.9652829884595875,7.636641502380371,259.09246826171875,266.09857177734375,63.019317626953125,15.9735,1,1,1982-02-01,2,1127
2,13.460126087353592,276.06390380859375,284.6675720214844,185.86822509765625,2.437960938550532e-05,2.0922032531387385,7.64094877243042,257.9800109863281,248.41619873046875,53.15870666503906,16.043875,1,1,1982-03-01,3,1155
3,13.460324436630973,275.15264892578125,283.20819091796875,174.50473022460938,2.4443130314466543e-05,2.0297083720831925,7.7021355628967285,257.0819396972656,231.87461853027344,46.65837097167969,15.466000000000001,1,1,1982-04-01,4,1186
4,13.342911653234092,276.07476806640625,286.047607421875,180.74266052246094,2.4775839847279713e-05,1.8184513508729288,7.810687065124512,260.3033447265625,234.77052307128906,53.04963684082031,13.9732,1,1,1982-05-01,5,1216
5,13.304653074271101,278.17083740234375,292.9945373535156,191.84066772460938,2.5479108444415033e-05,1.640927182850017,8.122705459594727,267.9293518066406,246.09303283691406,61.59361267089844,12.476066666666666,1,1,1982-06-01,6,1247
6,13.295392018082605,279.52008056640625,300.7733459472656,192.22576904296875,2.7788129955297336e-05,1.5028015487614137,8.547419548034668,275.578369140625,250.67930603027344,56.42666244506836,10.3670625,1,1,1982-07-01,7,1277
7,13.438751455512683,279.99090576171875,303.849365234375,186.51564025878906,2.8482687412179075e-05,1.3073595064412833,8.775412559509277,279.1127624511719,245.43772888183594,51.15930938720703,8.139533333333334,1,1,1982-08-01,8,1308
8,13.589822256215895,279.18646240234375,301.3085632324219,175.61636352539062,2.6712163162301295e-05,1.2909817739157086,8.679402351379395,276.70599365234375,233.74755859375,43.602848052978516,7.301733333333333,1,1,1982-09-01,9,1339
9,13.55283225644421,277.9718933105469,294.783935546875,169.75682067871094,2.5384953914908692e-05,1.2972982211172641,8.213138580322266,269.3748474121094,225.86024475097656,41.371788024902344,9.4210625,1,1,1982-10-01,10,1369
10,13.362249994292107,277.3175354003906,288.1415710449219,181.3114471435547,2.4848235625540838e-05,1.3338458332452654,7.756168365478516,262.1314392089844,237.9523468017578,52.021305084228516,11.627466666666667,1,1,1982-11-01,11,1400
11,13.214957818671659,277.3567810058594,286.5218505859375,197.43577575683594,2.4666604076628573e-05,1.4878093163468042,7.616366863250732,260.23504638671875,259.25836181640625,63.991737365722656,13.6418,1,1,1982-12-01,12,1430
12,13.287933229069157,277.597412109375,287.962158203125,206.328369140625,2.5045581423910335e-05,1.7456512089956036,7.638823509216309,261.41400146484375,271.154541015625,67.22720336914062,14.9424375,1,1,1983-01-01,1,1461
13,13.475035103541178,277.1001892089844,287.28143310546875,201.26390075683594,2.474817847541999e-05,1.945795166923825,7.712741851806641,260.8208923339844,265.998779296875,62.915794372558594,16.00614285714286,1,1,1983-02-01,2,1492
14,13.620173976574808,276.14874267578125,284.6986083984375,186.7349090576172,2.4675879103597254e-05,2.0713643605216436,7.728513717651367,258.7406921386719,248.43638610839844,53.3541374206543,16.085266666666666,1,1,1983-03-01,3,1520
15,13.580813774287083,276.0048828125,286.2190246582031,173.9752960205078,2.4969323931145482e-05,2.020524820605766,7.846743583679199,260.27276611328125,231.65121459960938,46.427978515625,15.172066666666666,1,1,1983-04-01,4,1551
16,13.46933719947944,276.56890869140625,288.0325622558594,180.31814575195312,2.5412620743736625e-05,1.873698632218042,7.923327922821045,262.5267333984375,234.60159301757812,52.790740966796875,13.4913125,1,1,1983-05-01,5,1581
17,13.366316867965022,278.6014404296875,295.5455627441406,191.46615600585938,2.6199229978374206e-05,1.6687905882757017,8.255294799804688,270.3258056640625,245.72775268554688,60.5413818359375,12.295666666666667,1,1,1983-06-01,6,1612
18,13.395712516267494,279.8793640136719,302.17132568359375,192.10569763183594,2.8516729798866436e-05,1.4740628038341224,8.648578643798828,276.65399169921875,250.63790893554688,55.98616027832031,10.570266666666667,1,1,1983-07-01,7,1642
19,13.537483732505308,279.694091796875,305.09954833984375,185.56837463378906,2.83927220152691e-05,1.30620039577697,8.904695510864258,280.2044372558594,245.19088745117188,50.807090759277344,8.185875,1,1,1983-08-01,8,1673
20,13.680984440284025,279.8120422363281,303.8339538574219,175.28245544433594,2.679021781659685e-05,1.2982463817319074,8.823382377624512,279.16107177734375,233.46548461914062,43.32622146606445,7.3946,1,1,1983-09-01,9,1704
21,13.598612411242266,278.6155090332031,296.8040771484375,169.5093231201172,2.5767165425349958e-05,1.3234434776061041,8.309527397155762,271.36614990234375,225.71356201171875,41.412899017333984,9.334066666666667,1,1,1983-10-01,10,1734
22,13.354226123884107,277.1966552734375,287.32672119140625,181.7259521484375,2.4712626327527687e-05,1.3803179227785762,7.802285194396973,262.0115661621094,237.7285919189453,52.489540100097656,11.461,1,1,1983-11-01,11,1765
23,13.181633713098472,277.1663818359375,285.2039794921875,199.6251678466797,2.476675945217721e-05,1.5385004068735204,7.606761455535889,259.67950439453125,259.43756103515625,64.8159408569336,13.2984375,1,1,1983-12-01,12,1795
24,13.22512214890751,277.28375244140625,285.7429504394531,207.29257202148438,2.4762133762123995e-05,1.7709825533162833,7.594548225402832,259.5779724121094,271.6904602050781,67.90999603271484,14.473266666666666,1,1,1984-01-01,1,1826
25,13.39781730176488,277.2285461425781,286.8568115234375,201.48114013671875,2.4809287424432114e-05,1.9819937000655226,7.645699977874756,260.31622314453125,266.3539733886719,62.767154693603516,15.298933333333334,1,1,1984-02-01,2,1857
