,date,extend,id,days_from_start,month,day_of_week,cat_id,prate_avg,csdsf_avg,csdlf_avg,csulf_avg,dswrf_avg,dlwrf_avg,uswrf_avg,ulwrf_avg,runof_avg,sst_avg,sf,air_avg,shum_avg,csusf_avg,cslnet_avg,cssnet_avg,lnet_avg,snet_avg
15,1983/4/1,15.17206667,1,1551,4,4,1,2.598597527,202.6152802,267.3182678,246.0447693,160.1941376,290.2296143,33.76073456,351.5652466,6.61E+19,12.0422802,17.5,277.4349976,0.007535847,38.43759918,21.2734985,164.177681,-61.3356323,126.433403
16,1983/5/1,13.4913125,1,1581,5,6,1,2.644212961,213.3834534,275.6012573,249.9080048,168.365448,301.2223511,39.08047867,361.0168762,6.61E+19,12.18188763,0,279.6124878,0.007863991,45.31712723,25.6932525,168.0663262,-59.7945251,129.2849693
17,1983/6/1,12.29566667,1,1612,6,2,1,2.758302927,218.3821411,280.7255554,251.5030823,168.7550354,306.8927612,34.41827011,366.0775757,6.61E+19,12.45935535,0,280.4050903,0.008197107,42.19575119,29.2224731,176.1863899,-59.1848145,134.3367653
18,1983/7/1,10.57026667,1,1642,7,4,1,2.790979862,213.3858948,284.427124,252.1653442,160.3471985,310.6894531,29.30644798,367.0231323,6.61E+19,12.82258892,0,280.6604614,0.00851874,37.96499252,32.2617798,175.4209023,-56.3336792,131.0407505
19,1983/8/1,8.185875,1,1673,8,0,1,2.775896311,202.5703735,282.8303833,251.5106964,151.8382568,309.2015076,24.7769146,365.8151855,6.61E+19,13.05183029,0,280.432312,0.008478484,31.87083817,31.3196869,170.6995353,-56.6136779,127.0613422
20,1983/9/1,7.3946,1,1704,9,3,1,2.703793526,195.855423,275.8869324,249.2850342,151.114563,301.4486084,24.23230553,360.3595276,6.61E+19,12.88624763,0,279.4446106,0.00799694,28.98709869,26.6018982,166.8683243,-58.9109192,126.8822575
21,1983/10/1,9.334066667,1,1734,10,5,1,2.597218513,207.2607574,266.6799927,245.9019165,163.8176727,291.2029724,34.08006668,352.38974,6.61E+19,12.37859917,0,277.8161926,0.00748517,38.44324875,20.7780762,168.8175086,-61.1867676,129.737606
22,1983/11/1,11.461,1,1765,11,1,1,2.557787895,229.3667755,263.079834,245.3017731,183.6500397,286.9926453,47.97605515,348.8746033,6.61E+19,12.01482296,30.1,277.1521606,0.007220165,52.74304581,17.7780609,176.6237297,-61.881958,135.6739846
23,1983/12/1,13.2984375,1,1795,12,3,1,2.52517724,242.4636688,261.8496704,245.1470184,194.9628754,285.3661804,52.56912231,347.4464722,6.61E+19,11.85838985,11,276.8225098,0.007173203,57.27957916,16.702652,185.1840896,-62.0802918,142.3937531
24,1984/1/1,14.47326667,1,1826,1,6,1,2.502188683,236.1240387,262.476532,245.191452,187.5758362,286.2709045,46.18816376,347.42276,6.61E+19,11.8521347,6.4,276.8390808,0.007235008,50.50791168,17.28508,185.616127,-61.1518555,141.3876724
25,1984/2/1,15.29893333,1,1857,2,2,1,2.566181421,216.9701233,261.7127991,244.3451233,169.7521515,285.5409241,35.04704285,345.8973083,6.61E+19,11.88825417,9.1,276.221405,0.007266001,39.31222534,17.3676758,177.657898,-60.3563842,134.7051087
26,1984/3/1,15.5842,1,1886,3,3,1,2.53212595,200.2947388,263.383667,244.3719177,155.5059509,286.6243896,27.54759789,347.0252075,6.61E+19,11.89305115,19.2,276.2853088,0.007375182,31.91666794,19.0117493,168.3780709,-60.4008179,127.958353
27,1984/4/1,15.01446667,1,1917,4,6,1,2.587297916,202.9569702,266.3547974,245.2845764,160.7853546,289.3452148,34.18470383,351.0643616,6.61E+19,11.95527172,12.7,277.3057251,0.007456396,38.73817062,21.070221,164.2187996,-61.7191468,126.6006508
28,1984/5/1,13.5766875,1,1947,5,1,1,2.646839619,213.684082,274.5606995,249.0634766,169.1110687,299.7270813,39.67054367,360.1880493,6.61E+19,12.04742622,0,279.4049683,0.007740076,45.80672455,25.4972229,167.8773574,-60.460968,129.440525
29,1984/6/1,12.15166667,1,1978,6,4,1,2.739752769,218.1997681,279.8651123,251.3937531,167.5908813,305.9306335,33.71892929,364.8041687,6.61E+19,12.31492996,0,280.27005,0.008111229,41.81801605,28.4713592,176.3817521,-58.8735352,133.871952
30,1984/7/1,9.977533333,1,2008,7,6,1,2.748111248,213.2265625,283.0928955,251.9702606,160.1242218,309.6275635,28.93914604,366.4926147,6.61E+19,12.77902699,0,280.6105042,0.008385884,37.51380539,31.1226349,175.7127571,-56.8650512,131.1850758
31,1984/8/1,7.7710625,1,2039,8,2,1,2.758773088,202.6092377,281.3853455,251.3599243,153.2957764,308.0750732,24.91288567,365.3612976,6.61E+19,13.01595688,0,280.3742676,0.008323388,31.78270721,30.0254212,170.8265305,-57.2862244,128.3828907
32,1984/9/1,6.8052,1,2070,9,5,1,2.660127163,195.9867401,274.4480591,248.5438538,151.8356476,300.5148315,23.9173584,360.1376038,6.61E+19,12.86812019,4.2,279.2953186,0.007876366,28.70914841,25.9042053,167.2775917,-59.6227723,127.9182892
33,1984/10/1,8.5606,1,2100,10,0,1,2.619096041,207.8632813,267.1149292,246.1502991,164.5380249,291.9026489,34.56108475,352.5029602,6.61E+19,12.31655407,11,277.9338074,0.007453315,38.94076538,20.9646301,168.9225159,-60.6003113,129.9769402
34,1984/11/1,10.84153333,1,2131,11,3,1,2.557886362,230.0261078,262.364502,245.111618,185.1110382,286.0020447,48.6724205,348.1964111,6.61E+19,11.94318771,0,277.053772,0.007192605,53.27763748,17.252884,176.7484703,-62.1943664,136.4386177
